@ DOWN TO LYMAN CONTINUUM 
@Carbonaceous - Silicate Model for Interstellar Dust with R_V=3.1
@Tabulated quantities:
@lambda  = wavelength in vacuo (micron)
@albedo  = (scattering cross section)/(extinction cross section)
@<cos>   = <cos(theta)> for scattered light
@C_ext/H = extinction cross section per H nucleon (cm^2/H)
@K_abs   = absorption cross section per mass of dust (cm^2/gram)
@<cos^2> = <cos^(theta)> for scattered light
@
@1.870E-26 = M_dust per H nucleon (gram/H) for this dust model
@1.236E+02 = M_gas/M_dust for this dust model (assuming He/H=0.096)
@
@  lambda    albedo   <cos>  C_ext/H    K_abs   <cos^2>
@ (micron)                   (cm^2/H)  (cm^2/g)          comment
@----------- ------  ------ --------- --------- ------- --------
4.36516E+01 0.0001 -0.0144 3.528E-24 1.887E+02 0.40000
4.26580E+01 0.0001 -0.0148 3.741E-24 2.001E+02 0.40000
4.16869E+01 0.0001 -0.0152 3.967E-24 2.122E+02 0.40000
4.07380E+01 0.0001 -0.0155 4.206E-24 2.249E+02 0.39999
3.98107E+01 0.0001 -0.0158 4.457E-24 2.383E+02 0.39999
3.89045E+01 0.0001 -0.0162 4.719E-24 2.523E+02 0.39999
3.80189E+01 0.0001 -0.0166 4.989E-24 2.668E+02 0.39999
3.71535E+01 0.0002 -0.0169 5.263E-24 2.815E+02 0.39999
3.63078E+01 0.0002 -0.0174 5.538E-24 2.962E+02 0.39999
3.54813E+01 0.0002 -0.0178 5.812E-24 3.108E+02 0.39999
3.46737E+01 0.0002 -0.0183 6.080E-24 3.252E+02 0.39999
3.38844E+01 0.0002 -0.0188 6.338E-24 3.390E+02 0.39999
3.31131E+01 0.0002 -0.0194 6.584E-24 3.521E+02 0.39999
3.23594E+01 0.0002 -0.0200 6.816E-24 3.645E+02 0.39999
3.16228E+01 0.0002 -0.0207 7.028E-24 3.759E+02 0.39999
3.09030E+01 0.0002 -0.0213 7.223E-24 3.863E+02 0.39999
3.01995E+01 0.0002 -0.0219 7.403E-24 3.959E+02 0.39999
2.95121E+01 0.0002 -0.0226 7.568E-24 4.047E+02 0.39999
2.88403E+01 0.0002 -0.0232 7.727E-24 4.132E+02 0.39998
2.81838E+01 0.0002 -0.0237 7.887E-24 4.218E+02 0.39998
2.75423E+01 0.0003 -0.0242 8.054E-24 4.307E+02 0.39998
2.69153E+01 0.0003 -0.0245 8.235E-24 4.403E+02 0.39998
2.63027E+01 0.0003 -0.0248 8.434E-24 4.510E+02 0.39998
2.57040E+01 0.0003 -0.0249 8.656E-24 4.628E+02 0.39998
2.51189E+01 0.0003 -0.0249 8.903E-24 4.761E+02 0.39998
2.45471E+01 0.0003 -0.0248 9.174E-24 4.905E+02 0.39998
2.39883E+01 0.0003 -0.0248 9.461E-24 5.059E+02 0.39998
2.34423E+01 0.0004 -0.0248 9.810E-24 5.246E+02 0.39997
2.29087E+01 0.0004 -0.0249 1.015E-23 5.429E+02 0.39997
2.23872E+01 0.0004 -0.0249 1.056E-23 5.646E+02 0.39997
2.18776E+01 0.0004 -0.0250 1.103E-23 5.897E+02 0.39997
2.13796E+01 0.0004 -0.0250 1.157E-23 6.188E+02 0.39997
2.08930E+01 0.0005 -0.0249 1.204E-23 6.437E+02 0.39997
2.04174E+01 0.0005 -0.0249 1.247E-23 6.665E+02 0.39997
1.99526E+01 0.0005 -0.0247 1.309E-23 6.997E+02 0.39996
1.94984E+01 0.0005 -0.0247 1.370E-23 7.322E+02 0.39996
1.90546E+01 0.0006 -0.0248 1.418E-23 7.579E+02 0.39996
1.86209E+01 0.0006 -0.0252 1.449E-23 7.744E+02 0.39996
1.81970E+01 0.0006 -0.0256 1.469E-23 7.852E+02 0.39996
1.77828E+01 0.0007 -0.0261 1.437E-23 7.680E+02 0.39995
1.73780E+01 0.0008 -0.0266 1.397E-23 7.468E+02 0.39995
1.69824E+01 0.0009 -0.0271 1.345E-23 7.187E+02 0.39995
1.65959E+01 0.0010 -0.0275 1.286E-23 6.873E+02 0.39994
1.62181E+01 0.0011 -0.0279 1.217E-23 6.501E+02 0.39994
1.58489E+01 0.0013 -0.0282 1.143E-23 6.106E+02 0.39994
1.54882E+01 0.0016 -0.0286 1.077E-23 5.754E+02 0.39993
1.51356E+01 0.0018 -0.0289 1.018E-23 5.436E+02 0.39993
1.47911E+01 0.0021 -0.0291 9.681E-24 5.167E+02 0.39993
1.44544E+01 0.0024 -0.0292 9.262E-24 4.942E+02 0.39992
1.41254E+01 0.0027 -0.0291 9.150E-24 4.881E+02 0.39992
1.38038E+01 0.0029 -0.0290 9.504E-24 5.069E+02 0.39991
1.34896E+01 0.0030 -0.0289 1.033E-23 5.509E+02 0.39991
1.31826E+01 0.0030 -0.0289 1.140E-23 6.081E+02 0.39991
1.28825E+01 0.0030 -0.0289 1.263E-23 6.737E+02 0.39990
1.25893E+01 0.0030 -0.0289 1.410E-23 7.520E+02 0.39990
1.23027E+01 0.0030 -0.0289 1.561E-23 8.323E+02 0.39989
1.20226E+01 0.0030 -0.0292 1.740E-23 9.277E+02 0.39989
1.17490E+01 0.0030 -0.0295 1.941E-23 1.035E+03 0.39988
1.14815E+01 0.0029 -0.0310 2.157E-23 1.150E+03 0.39987
1.13000E+01 0.0029 -0.0307 2.316E-23 1.235E+03 0.39986 
1.12202E+01 0.0030 -0.0308 2.382E-23 1.271E+03 0.39986
1.09648E+01 0.0030 -0.0313 2.603E-23 1.388E+03 0.39985
1.07152E+01 0.0030 -0.0318 2.883E-23 1.538E+03 0.39984
1.04713E+01 0.0029 -0.0324 3.231E-23 1.723E+03 0.39983
1.03600E+01 0.0029 -0.0328 3.372E-23 1.798E+03 0.39983 
1.02329E+01 0.0029 -0.0335 3.495E-23 1.864E+03 0.39982
1.00000E+01 0.0030 -0.0347 3.672E-23 1.958E+03 0.39981
9.90000E+00 0.0031 -0.0352 3.756E-23 2.003E+03 0.39980
9.80000E+00 0.0031 -0.0357 3.848E-23 2.052E+03 0.39979
9.77237E+00 0.0031 -0.0359 3.874E-23 2.066E+03 0.39979
9.70000E+00 0.0032 -0.0363 3.944E-23 2.103E+03 0.39978
9.60000E+00 0.0032 -0.0369 4.029E-23 2.148E+03 0.39978
9.54993E+00 0.0032 -0.0373 4.057E-23 2.163E+03 0.39977
9.50000E+00 0.0033 -0.0377 4.073E-23 2.171E+03 0.39977
9.40000E+00 0.0034 -0.0386 4.059E-23 2.164E+03 0.39976 
9.33254E+00 0.0035 -0.0393 4.009E-23 2.137E+03 0.39975
9.12011E+00 0.0041 -0.0418 3.642E-23 1.940E+03 0.39972
8.91251E+00 0.0051 -0.0442 3.120E-23 1.660E+03 0.39969
8.70964E+00 0.0063 -0.0460 2.681E-23 1.425E+03 0.39967
8.51138E+00 0.0079 -0.0474 2.352E-23 1.248E+03 0.39964
8.31764E+00 0.0100 -0.0486 2.005E-23 1.062E+03 0.39961
8.12831E+00 0.0137 -0.0497 1.610E-23 8.492E+02 0.39959
7.94328E+00 0.0185 -0.0505 1.307E-23 6.863E+02 0.39956
7.76247E+00 0.0239 -0.0510 1.115E-23 5.823E+02 0.39954
7.62000E+00 0.0293 -0.0514 9.879E-24 5.129E+02 0.39951 
