@                   x                         y                        z            nabs nscat    abslum      temp    dens        mass       cell_tau  next_n
  2.97704000000000000000e+15  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.7013e-16  0.0000e+00  0.0000e+00    0
  4.45808000000000000000e+15  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.5341e-16  0.0000e+00  0.0000e+00    0
  5.93912000000000000000e+15  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.3240e-16  0.0000e+00  0.0000e+00    0
  7.42016000000000000000e+15  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  3.0882e-16  0.0000e+00  0.0000e+00    0
  8.90120000000000000000e+15  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.8418e-16  0.0000e+00  0.0000e+00    0
  1.03822400000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.5971e-16  0.0000e+00  0.0000e+00    0
  1.18632800000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.3623e-16  0.0000e+00  0.0000e+00    0
  1.33443200000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  2.1429e-16  0.0000e+00  0.0000e+00    0
  1.48253600000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.9413e-16  0.0000e+00  0.0000e+00    0
  1.63064000000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.7586e-16  0.0000e+00  0.0000e+00    0
  1.77874400000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.5942e-16  0.0000e+00  0.0000e+00    0
  1.92684800000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.4472e-16  0.0000e+00  0.0000e+00    0
  2.07495200000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.3161e-16  0.0000e+00  0.0000e+00    0
  2.22305600000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.1994e-16  0.0000e+00  0.0000e+00    0
  2.37116000000000000000e+16  0.00000000000000000000e+00  6.28318530717958623200e+00    0    0  0.0000e+00    0.0  1.0956e-16  0.0000e+00  0.0000e+00    0
